Search_method Problem Max_evals Run Score
uniform_xo_greedy 11_20_1000_4 1000 2 1440
uniform_xo_greedy 11_20_1000_4 1000 3 1440
uniform_xo_greedy 11_20_1000_4 1000 4 1440
uniform_xo_greedy 11_20_1000_4 1000 5 1440
uniform_xo_greedy 11_20_1000_4 1000 6 1440
uniform_xo_greedy 11_20_1000_4 1000 7 1440
uniform_xo_greedy 11_20_1000_4 1000 8 1440
uniform_xo_greedy 11_20_1000_4 1000 9 1440
uniform_xo_greedy 13_20_1000_4 1000 0 907
uniform_xo_greedy 13_20_1000_4 1000 1 907
uniform_xo_greedy 13_20_1000_4 1000 2 907
uniform_xo_greedy 13_20_1000_4 1000 3 907
uniform_xo_greedy 13_20_1000_4 1000 4 907
uniform_xo_greedy 13_20_1000_4 1000 5 907
uniform_xo_greedy 13_20_1000_4 1000 6 890
uniform_xo_greedy 13_20_1000_4 1000 7 907
uniform_xo_greedy 13_20_1000_4 1000 8 907
uniform_xo_greedy 13_20_1000_4 1000 9 907
uniform_xo_greedy 16_20_1000_4 1000 0 2886
uniform_xo_greedy 16_20_1000_4 1000 1 2893
uniform_xo_greedy 16_20_1000_4 1000 2 2893
uniform_xo_greedy 16_20_1000_4 1000 3 2893
uniform_xo_greedy 16_20_1000_4 1000 4 2886
uniform_xo_greedy 16_20_1000_4 1000 5 2886
uniform_xo_greedy 16_20_1000_4 1000 6 2893
uniform_xo_greedy 16_20_1000_4 1000 7 2893
uniform_xo_greedy 16_20_1000_4 1000 8 2893
uniform_xo_greedy 16_20_1000_4 1000 9 2893
uniform_xo_greedy 11_200_1000_4 1000 0 5180
uniform_xo_greedy 11_200_1000_4 1000 1 5180
uniform_xo_greedy 11_200_1000_4 1000 2 5180
uniform_xo_greedy 11_200_1000_4 1000 3 5140
uniform_xo_greedy 11_200_1000_4 1000 4 5180
uniform_xo_greedy 11_200_1000_4 1000 5 5180
uniform_xo_greedy 11_200_1000_4 1000 6 5180
uniform_xo_greedy 11_200_1000_4 1000 7 5180
uniform_xo_greedy 11_200_1000_4 1000 8 5140
uniform_xo_greedy 11_200_1000_4 1000 9 5180
uniform_xo_greedy 13_200_1000_4 1000 0 3680
uniform_xo_greedy 13_200_1000_4 1000 1 3680
uniform_xo_greedy 13_200_1000_4 1000 2 3680
uniform_xo_greedy 13_200_1000_4 1000 3 3680
uniform_xo_greedy 13_200_1000_4 1000 4 3680
uniform_xo_greedy 13_200_1000_4 1000 5 3680
uniform_xo_greedy 13_200_1000_4 1000 6 3680
uniform_xo_greedy 13_200_1000_4 1000 7 3680
uniform_xo_greedy 13_200_1000_4 1000 8 3680
uniform_xo_greedy 13_200_1000_4 1000 9 3680
uniform_xo_greedy 16_200_1000_4 1000 0 13640
uniform_xo_greedy 16_200_1000_4 1000 1 14337
uniform_xo_greedy 16_200_1000_4 1000 2 13629
uniform_xo_greedy 16_200_1000_4 1000 3 14338
uniform_xo_greedy 16_200_1000_4 1000 4 13542
uniform_xo_greedy 16_200_1000_4 1000 5 13982
uniform_xo_greedy 16_200_1000_4 1000 6 14328
uniform_xo_greedy 16_200_1000_4 1000 7 14799
uniform_xo_greedy 16_200_1000_4 1000 8 12923
uniform_xo_greedy 16_200_1000_4 1000 9 13117
uniform_xo_greedy 16_1000_1000_3 1000 0 46201
uniform_xo_greedy 16_1000_1000_3 1000 1 45092
uniform_xo_greedy 16_1000_1000_3 1000 2 48764
uniform_xo_greedy 16_1000_1000_3 1000 3 43965
uniform_xo_greedy 16_1000_1000_3 1000 4 46872
uniform_xo_greedy 16_1000_1000_3 1000 5 46517
uniform_xo_greedy 16_1000_1000_3 1000 6 47012
uniform_xo_greedy 16_1000_1000_3 1000 7 45260
uniform_xo_greedy 16_1000_1000_3 1000 8 46095
uniform_xo_greedy 16_1000_1000_3 1000 9 48113
2pt_xo_random 11_20_1000_4 1000 0 1360
2pt_xo_random 11_20_1000_4 1000 1 1400
2pt_xo_random 11_20_1000_4 1000 2 1400
2pt_xo_random 11_20_1000_4 1000 3 1440
2pt_xo_random 11_20_1000_4 1000 4 1400
2pt_xo_random 11_20_1000_4 1000 5 1400
2pt_xo_random 11_20_1000_4 1000 6 1360
2pt_xo_random 11_20_1000_4 1000 7 1400
2pt_xo_random 11_20_1000_4 1000 8 1400
2pt_xo_random 11_20_1000_4 1000 9 1320
2pt_xo_random 13_20_1000_4 1000 0 907
2pt_xo_random 13_20_1000_4 1000 1 907
2pt_xo_random 13_20_1000_4 1000 2 907
2pt_xo_random 13_20_1000_4 1000 3 907
2pt_xo_random 13_20_1000_4 1000 4 907
2pt_xo_random 13_20_1000_4 1000 5 907
2pt_xo_random 13_20_1000_4 1000 6 907
2pt_xo_random 13_20_1000_4 1000 7 907
2pt_xo_random 13_20_1000_4 1000 8 907
2pt_xo_random 13_20_1000_4 1000 9 907
2pt_xo_random 16_20_1000_4 1000 0 2864
2pt_xo_random 16_20_1000_4 1000 1 2682
2pt_xo_random 16_20_1000_4 1000 2 2893
2pt_xo_random 16_20_1000_4 1000 3 2893
2pt_xo_random 16_20_1000_4 1000 4 2682
2pt_xo_random 16_20_1000_4 1000 5 2893
2pt_xo_random 16_20_1000_4 1000 6 2886
2pt_xo_random 16_20_1000_4 1000 7 2893
2pt_xo_random 16_20_1000_4 1000 8 2893
2pt_xo_random 16_20_1000_4 1000 9 2682
2pt_xo_random 11_200_1000_4 1000 0 -11634
2pt_xo_random 11_200_1000_4 1000 1 -6844
2pt_xo_random 11_200_1000_4 1000 2 -11140
2pt_xo_random 11_200_1000_4 1000 3 -12181
2pt_xo_random 11_200_1000_4 1000 4 -8306
2pt_xo_random 11_200_1000_4 1000 5 -12402
2pt_xo_random 11_200_1000_4 1000 6 -8298
2pt_xo_random 11_200_1000_4 1000 7 -8584
2pt_xo_random 11_200_1000_4 1000 8 -8796
2pt_xo_random 11_200_1000_4 1000 9 -12724
2pt_xo_random 13_200_1000_4 1000 0 -5184
2pt_xo_random 13_200_1000_4 1000 1 -4590
2pt_xo_random 13_200_1000_4 1000 2 -3705
2pt_xo_random 13_200_1000_4 1000 3 -5544
2pt_xo_random 13_200_1000_4 1000 4 -4443
2pt_xo_random 13_200_1000_4 1000 5 -7485
2pt_xo_random 13_200_1000_4 1000 6 -6918
2pt_xo_random 13_200_1000_4 1000 7 -6447
2pt_xo_random 13_200_1000_4 1000 8 -6564
2pt_xo_random 13_200_1000_4 1000 9 -6375
2pt_xo_random 16_200_1000_4 1000 0 -9550
