Search_method Problem Max_evals Run Score
uniform_xo_pop_100 knapPI_13_20_1000_4 1000 14 907
uniform_xo_pop_100 knapPI_13_20_1000_4 1000 15 907
uniform_xo_pop_100 knapPI_13_20_1000_4 1000 16 907
uniform_xo_pop_100 knapPI_13_20_1000_4 1000 17 907
uniform_xo_pop_100 knapPI_13_20_1000_4 1000 18 907
uniform_xo_pop_100 knapPI_13_20_1000_4 1000 19 907
uniform_xo_pop_100 knapPI_16_20_1000_4 1000 0 2893
uniform_xo_pop_100 knapPI_16_20_1000_4 1000 1 2893
uniform_xo_pop_100 knapPI_16_20_1000_4 1000 2 2893
uniform_xo_pop_100 knapPI_16_20_1000_4 1000 3 2886
uniform_xo_pop_100 knapPI_16_20_1000_4 1000 4 2893
uniform_xo_pop_100 knapPI_16_20_1000_4 1000 5 2893
uniform_xo_pop_100 knapPI_16_20_1000_4 1000 6 2893
uniform_xo_pop_100 knapPI_16_20_1000_4 1000 7 2893
uniform_xo_pop_100 knapPI_16_20_1000_4 1000 8 2893
uniform_xo_pop_100 knapPI_16_20_1000_4 1000 9 2893
uniform_xo_pop_100 knapPI_16_20_1000_4 1000 10 2893
uniform_xo_pop_100 knapPI_16_20_1000_4 1000 11 2886
uniform_xo_pop_100 knapPI_16_20_1000_4 1000 12 2893
uniform_xo_pop_100 knapPI_16_20_1000_4 1000 13 2864
uniform_xo_pop_100 knapPI_16_20_1000_4 1000 14 2893
uniform_xo_pop_100 knapPI_16_20_1000_4 1000 15 2893
uniform_xo_pop_100 knapPI_16_20_1000_4 1000 16 2893
uniform_xo_pop_100 knapPI_16_20_1000_4 1000 17 2893
uniform_xo_pop_100 knapPI_16_20_1000_4 1000 18 2893
uniform_xo_pop_100 knapPI_16_20_1000_4 1000 19 2893
uniform_xo_pop_100 knapPI_11_200_1000_4 1000 0 5100
uniform_xo_pop_100 knapPI_11_200_1000_4 1000 1 5020
uniform_xo_pop_100 knapPI_11_200_1000_4 1000 2 5060
uniform_xo_pop_100 knapPI_11_200_1000_4 1000 3 4980
uniform_xo_pop_100 knapPI_11_200_1000_4 1000 4 5140
uniform_xo_pop_100 knapPI_11_200_1000_4 1000 5 5140
uniform_xo_pop_100 knapPI_11_200_1000_4 1000 6 5100
uniform_xo_pop_100 knapPI_11_200_1000_4 1000 7 5140
uniform_xo_pop_100 knapPI_11_200_1000_4 1000 8 5180
uniform_xo_pop_100 knapPI_11_200_1000_4 1000 9 5100
uniform_xo_pop_100 knapPI_11_200_1000_4 1000 10 5100
uniform_xo_pop_100 knapPI_11_200_1000_4 1000 11 5100
uniform_xo_pop_100 knapPI_11_200_1000_4 1000 12 5180
uniform_xo_pop_100 knapPI_11_200_1000_4 1000 13 5140
uniform_xo_pop_100 knapPI_11_200_1000_4 1000 14 5140
uniform_xo_pop_100 knapPI_11_200_1000_4 1000 15 5060
uniform_xo_pop_100 knapPI_11_200_1000_4 1000 16 5180
uniform_xo_pop_100 knapPI_11_200_1000_4 1000 17 5100
uniform_xo_pop_100 knapPI_11_200_1000_4 1000 18 5020
uniform_xo_pop_100 knapPI_11_200_1000_4 1000 19 5060
uniform_xo_pop_100 knapPI_13_200_1000_4 1000 0 3663
uniform_xo_pop_100 knapPI_13_200_1000_4 1000 1 3663
uniform_xo_pop_100 knapPI_13_200_1000_4 1000 2 3663
uniform_xo_pop_100 knapPI_13_200_1000_4 1000 3 3663
uniform_xo_pop_100 knapPI_13_200_1000_4 1000 4 3637
uniform_xo_pop_100 knapPI_13_200_1000_4 1000 5 3663
uniform_xo_pop_100 knapPI_13_200_1000_4 1000 6 3663
uniform_xo_pop_100 knapPI_13_200_1000_4 1000 7 3663
uniform_xo_pop_100 knapPI_13_200_1000_4 1000 8 3663
uniform_xo_pop_100 knapPI_13_200_1000_4 1000 9 3663
uniform_xo_pop_100 knapPI_13_200_1000_4 1000 10 3663
uniform_xo_pop_100 knapPI_13_200_1000_4 1000 11 3663
uniform_xo_pop_100 knapPI_13_200_1000_4 1000 12 3663
uniform_xo_pop_100 knapPI_13_200_1000_4 1000 13 3637
uniform_xo_pop_100 knapPI_13_200_1000_4 1000 14 3663
uniform_xo_pop_100 knapPI_13_200_1000_4 1000 15 3663
uniform_xo_pop_100 knapPI_13_200_1000_4 1000 16 3663
uniform_xo_pop_100 knapPI_13_200_1000_4 1000 17 3663
uniform_xo_pop_100 knapPI_13_200_1000_4 1000 18 3663
uniform_xo_pop_100 knapPI_13_200_1000_4 1000 19 3663
uniform_xo_pop_100 knapPI_16_200_1000_4 1000 0 15124
uniform_xo_pop_100 knapPI_16_200_1000_4 1000 1 14659
uniform_xo_pop_100 knapPI_16_200_1000_4 1000 2 14992
uniform_xo_pop_100 knapPI_16_200_1000_4 1000 3 14912
